,id,title,artist,album,release date,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,owner
90,0PYrcn09qxYeOakSY8NlHP,Kanyaah,Nadin Amizah,Selamat Ulang Tahun,2020-05-28,259869,55,0.513,0.284,7,-13.46,1,0.0332,0.945,0.0746,0.358,0.28,148.246,4,my boyfriend
91,0vkzRCT7wzqWCFJw5TN1MQ,Save The Day (feat. Coi Leray & LouGotCash),Ski Mask The Slump God,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,178720,59,0.871,0.751,6,-8.042,0,0.0788,0.00391,0,0.0853,0.787,139.984,4,my boyfriend
92,2CWOMDYFK4Ef3867nEhnVM,Memories,Thutmose,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,199147,62,0.567,0.651,5,-7.146,0,0.0554,0.0519,0,0.183,0.519,93.989,4,my boyfriend
93,2tZIVD0ZPxpsoFx7hvAjWh,The Saltwater Room,Owl City,Ocean Eyes (Deluxe Version),2009-01-01,242587,50,0.641,0.686,0,-6.727,1,0.0261,0.053,5.05E-05,0.159,0.669,111.994,4,my boyfriend
94,3vWzyGTu6Ovo1GdrcJqH6e,Scared of the Dark (feat. XXXTENTACION),Lil Wayne,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,233000,72,0.443,0.623,0,-6.717,0,0.0718,0.0468,0,0.247,0.156,79.365,4,my boyfriend
95,5F2AuFzEiuAQD0JVNjVJQz,Let Go,Beau Young Prince,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,177653,62,0.764,0.725,7,-8.812,1,0.0576,0.463,5.91E-06,0.109,0.0794,100.063,4,my boyfriend
96,6kiauSlWtddVQx4JwJx51p,"Elevate (feat. Denzel Curry, YBN Cordae, SwaVay, Trevor Rich)",DJ Khalil,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,219400,66,0.58,0.935,6,-4.847,0,0.293,0.176,0,0.514,0.666,129.173,4,my boyfriend
97,7pBsquIkbED6W6uSQJGbkn,Home,Vince Staples,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture),2018-12-14,211360,63,0.604,0.736,10,-5.596,0,0.0555,0.00608,0.109,0.11,0.345,118.012,4,my boyfriend
98,0XOAJ3TR8YkRZwCHVRMySI,Glasses,Fuvk,Time Series,2018-02-19,196364,23,0.636,0.387,1,-12.261,0,0.0283,0.621,1.43E-05,0.248,0.22,87.998,4,my boyfriend
99,0g5cBpjngd4btah5tkPneh,The 5th of July,Owl City,Cinematic,2018-06-01,251983,41,0.645,0.485,6,-8.943,1,0.0281,0.603,0.0191,0.0914,0.596,148.945,3,my boyfriend
